,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
35,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,2016-11-27,2.5,3067,3,2,1,120.0,128.0,1998,Yarra,-37.8022,144.9954,Northern Metropolitan,4019
36,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,2016-05-28,2.5,3067,2,1,0,182.0,82.0,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,4019
37,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,2016-07-30,2.5,3067,2,1,1,172.0,81.0,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,4019
39,Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,2016-12-03,13.5,3042,3,2,1,0.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
40,Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,2017-03-04,13.5,3042,3,2,1,0.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
41,Airport West,23 Hart St,2,h,603000.0,S,Nelson,2017-03-04,13.5,3042,2,1,1,272.0,84.0,1950,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464
42,Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,2017-03-04,13.5,3042,3,2,2,239.0,134.0,2009,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464
43,Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,2017-03-04,13.5,3042,2,1,1,290.0,116.0,1980,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
44,Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,2017-03-04,13.5,3042,2,1,1,168.0,86.0,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464
45,Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,2016-08-06,13.5,3042,2,1,1,620.0,151.97,1970,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464
46,Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,2016-08-06,13.5,3042,3,1,2,597.0,127.0,1970,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
48,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,2016-05-07,13.5,3042,2,1,1,110.0,90.0,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
49,Airport West,3/19 Hart St,2,u,515000.0,S,Barry,2016-11-07,13.5,3042,2,1,1,141.0,73.0,2013,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464
50,Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,2016-09-10,13.5,3042,2,1,1,120.0,94.0,2012,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464
52,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,2016-12-10,13.5,3042,3,1,1,0.0,105.0,1950,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464
53,Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,2017-02-11,13.5,3042,3,1,1,265.0,130.0,1993,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464
54,Airport West,145a Victory Rd,2,u,440000.0,S,Barry,2016-08-13,13.5,3042,2,1,1,192.0,151.97,1970,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464
56,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,2016-10-15,13.5,3042,3,2,2,165.0,133.0,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
57,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,2016-04-16,13.5,3042,3,1,2,971.0,113.0,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
58,Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,2016-07-16,13.5,3042,2,1,1,164.0,151.97,2003,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464
59,Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,2016-07-16,13.5,3042,3,2,2,657.0,151.97,1970,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464
60,Airport West,174 Parer Rd,2,h,675000.0,S,Barry,2016-07-16,13.5,3042,2,1,1,612.0,100.0,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
62,Airport West,75 King St,3,h,910000.0,S,McDonald,2016-09-17,13.5,3042,3,1,1,775.0,151.97,1970,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464
64,Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,2017-03-18,13.5,3042,3,3,2,555.0,192.0,1980,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464
65,Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,2017-03-18,13.5,3042,3,2,2,422.0,126.0,1995,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464
66,Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,2017-03-18,13.5,3042,3,1,3,614.0,151.97,1970,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464
67,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,2016-06-18,13.5,3042,2,2,1,161.0,101.0,2010,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464
68,Airport West,37 North St,3,t,825000.0,SP,Barry,2016-11-19,13.5,3042,3,2,1,293.0,102.0,1960,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464
69,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,2016-05-22,13.5,3042,3,1,1,579.0,113.0,1975,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464
70,Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,2016-08-22,13.5,3042,3,1,1,623.0,151.97,1970,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464
71,Airport West,2/13 North St,2,u,510000.0,S,Nelson,2016-08-22,13.5,3042,2,1,1,141.0,76.0,1970,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464
72,Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,2016-08-22,13.5,3042,3,2,1,212.0,151.97,1970,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464
73,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,2016-04-23,13.5,3042,3,1,2,612.0,151.97,1970,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464
74,Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,2016-09-24,13.5,3042,4,3,2,532.0,151.97,1970,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464
75,Airport West,33 North St,3,h,720000.0,PI,Nelson,2017-02-25,13.5,3042,3,1,1,585.0,151.97,1970,Moonee Valley,-37.72,144.878,Western Metropolitan,3464
76,Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,2016-11-27,13.5,3042,4,1,2,509.0,151.97,1970,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464
77,Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,2016-11-27,13.5,3042,4,2,3,628.0,146.0,1975,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464
78,Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,2016-09-03,3.3,3206,2,1,0,120.0,82.0,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
79,Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,2016-09-03,3.3,3206,2,1,0,159.0,151.97,1970,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280
81,Albert Park,94 Graham St,3,h,1850000.0,S,Greg,2017-03-04,3.3,3206,3,2,0,128.0,133.0,1890,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280
82,Albert Park,396 Montague St,2,h,1436000.0,S,RT,2017-03-04,3.3,3206,2,1,0,130.0,81.0,1900,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280
83,Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,2016-08-06,3.3,3206,1,1,0,147.0,151.97,1900,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280
84,Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,2016-05-07,3.3,3206,2,1,1,167.0,151.97,1970,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280
86,Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,2016-11-07,3.3,3206,3,2,2,718.0,151.97,1970,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280
87,Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,2016-11-07,3.3,3206,3,2,1,132.0,159.0,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
89,Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,2016-09-10,3.3,3206,3,1,1,253.0,151.97,1970,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280
90,Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,2016-09-10,3.3,3206,3,2,1,90.0,122.0,1900,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280
91,Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,2016-12-10,3.3,3206,2,1,0,240.0,151.97,1970,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280
94,Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,2016-12-10,3.3,3206,3,1,0,129.0,151.97,1970,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280
95,Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,2016-06-12,3.3,3206,3,2,2,0.0,85.0,2000,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280
96,Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,2016-11-12,3.3,3206,2,1,0,288.0,151.97,1970,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280
98,Albert Park,65 Graham St,2,h,1322500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,149.0,98.0,1890,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280
99,Albert Park,364 Montague St,2,h,1562500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,141.0,83.0,1890,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280
100,Albert Park,86 Mills St,3,h,2000000.0,VB,RT,2016-04-16,3.3,3206,3,2,1,211.0,147.0,1900,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280
101,Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,2017-03-18,3.3,3206,3,1,0,209.0,151.97,1900,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280
104,Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,2016-05-22,3.3,3206,2,1,1,0.0,151.97,1970,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280
105,Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,2016-04-23,3.3,3206,2,1,1,120.0,123.0,1900,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280
106,Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,2016-09-24,3.3,3206,3,1,1,238.0,131.0,1890,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280
109,Albert Park,32 Page St,2,h,1340000.0,S,Greg,2017-02-25,3.3,3206,2,1,0,136.0,151.97,1970,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280
110,Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,202.0,151.97,1970,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280
111,Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,2016-07-26,3.3,3206,3,3,1,0.0,151.97,1970,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
114,Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,2016-11-27,3.3,3206,2,1,1,162.0,151.97,1970,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280
116,Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,152.0,151.97,1970,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280
117,Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,2016-08-28,3.3,3206,3,2,2,147.0,134.0,1890,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280
121,Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,2016-09-03,6.4,3078,3,2,2,208.0,151.97,2013,Yarra,-37.7854,145.0325,Northern Metropolitan,2211
122,Alphington,136A Fulham Rd,3,h,1492000.0,S,Jellis,2017-03-04,6.4,3078,3,2,2,411.0,151.97,1970,Darebin,-37.7713,145.0279,Northern Metropolitan,2211
126,Alphington,4/2 Miller St,2,t,805000.0,S,Miles,2016-11-12,6.4,3078,2,2,3,155.0,140.0,2004,Darebin,-37.7804,145.0308,Northern Metropolitan,2211
127,Alphington,2/5 Yarana Rd,2,u,465000.0,S,McGrath,2016-11-12,6.4,3078,2,1,1,0.0,151.97,1970,Darebin,-37.7773,145.0314,Northern Metropolitan,2211
128,Alphington,815 Heidelberg Rd,3,h,2000000.0,PI,hockingstuart,2016-10-15,6.4,3078,3,3,2,686.0,151.97,1970,Darebin,-37.78,145.0341,Northern Metropolitan,2211
129,Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,2016-04-16,6.4,3078,3,1,2,592.0,151.97,1970,Darebin,-37.7755,145.0288,Northern Metropolitan,2211
130,Alphington,3/98 Grange Rd,2,u,820000.0,S,Nelson,2017-03-18,6.4,3078,2,1,1,183.0,151.97,1970,Darebin,-37.7747,145.0264,Northern Metropolitan,2211
131,Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,2016-11-19,6.4,3078,4,2,2,606.0,112.0,1970,Darebin,-37.7743,145.0316,Northern Metropolitan,2211
133,Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,2016-05-22,6.4,3078,3,1,1,180.0,131.0,2010,Darebin,-37.7802,145.0243,Northern Metropolitan,2211
137,Alphington,22 Lowther St,3,h,1165000.0,S,Barry,2016-06-27,6.4,3078,3,1,2,979.0,151.97,1970,Yarra,-37.7792,145.029,Northern Metropolitan,2211
139,Alphington,6 Naroon Rd,3,h,1485000.0,SP,McGrath,2016-08-28,6.4,3078,3,0,0,597.0,151.97,1970,Darebin,-37.7781,145.0284,Northern Metropolitan,2211
143,Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,2016-02-04,13.8,3018,2,1,2,292.0,125.0,2013,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301
144,Altona,4 Blyth St,3,h,1120000.0,S,Barlow,2017-03-04,13.8,3018,3,1,2,506.0,120.0,1930,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301
147,Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,2016-08-06,13.8,3018,2,1,2,311.0,94.0,1955,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301
148,Altona,5/35 Grieve Pde,2,u,406000.0,SP,hockingstuart,2016-08-06,13.8,3018,2,1,1,65.0,151.97,1970,Hobsons Bay,-37.8693,144.8171,Western Metropolitan,5301
149,Altona,156 Maidstone St,3,h,660000.0,VB,Greg,2016-05-07,13.8,3018,3,1,1,602.0,123.0,1955,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301
150,Altona,11 Keeshan Ct,3,h,683500.0,S,Greg,2016-11-07,13.8,3018,3,1,1,530.0,151.97,1970,Hobsons Bay,-37.8594,144.817,Western Metropolitan,5301
151,Altona,1/136 Queen St,2,u,580000.0,S,Barlow,2016-10-08,13.8,3018,2,1,1,225.0,93.0,1988,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301
153,Altona,1/265 Queen St,3,t,800000.0,SP,hockingstuart,2016-10-08,13.8,3018,3,2,2,280.0,151.97,1997,Hobsons Bay,-37.8734,144.8143,Western Metropolitan,5301
154,Altona,3/26 Grieve Pde,2,u,510000.0,S,Village,2016-09-10,13.8,3018,2,1,1,127.0,76.0,1990,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,5301
155,Altona,261 Queen St,4,h,1070000.0,S,Barlow,2016-09-10,13.8,3018,4,2,2,695.0,151.97,1970,Hobsons Bay,-37.8733,144.8147,Western Metropolitan,5301
157,Altona,1/60 David St,3,u,605000.0,S,Jas,2016-12-10,13.8,3018,3,2,2,230.0,151.97,1970,Hobsons Bay,-37.8646,144.827,Western Metropolitan,5301
158,Altona,1A Merritt Ct,3,t,705000.0,S,hockingstuart,2017-02-11,13.8,3018,3,2,2,197.0,152.0,1970,Hobsons Bay,-37.8579,144.8181,Western Metropolitan,5301
160,Altona,111/112 Pier St,2,u,440000.0,SP,hockingstuart,2017-02-11,13.8,3018,2,1,1,0.0,151.97,1970,Hobsons Bay,-37.8659,144.83100000000005,Western Metropolitan,5301
161,Altona,24 Wren St,4,h,845000.0,S,hockingstuart,2017-02-11,13.8,3018,4,1,2,745.0,130.0,1950,Hobsons Bay,-37.8658,144.8155,Western Metropolitan,5301
162,Altona,1/152 Blyth St,3,t,743000.0,SP,Gunn&Co,2016-11-12,13.8,3018,3,2,2,211.0,176.0,1970,Hobsons Bay,-37.8698,144.816,Western Metropolitan,5301
163,Altona,4/57 Blyth St,3,u,730000.0,SP,Barlow,2016-08-13,13.8,3018,3,2,1,69.0,141.0,2014,Hobsons Bay,-37.868,144.8286,Western Metropolitan,5301
165,Altona,3/25 Rayner St,2,u,620000.0,SP,hockingstuart,2016-05-14,13.8,3018,2,1,1,168.0,151.97,1970,Hobsons Bay,-37.8676,144.8202,Western Metropolitan,5301
166,Altona,3/46 Sargood St,2,u,447000.0,S,Burnham,2016-10-15,13.8,3018,2,1,1,137.0,77.0,1990,Hobsons Bay,-37.8655,144.8299,Western Metropolitan,5301
167,Altona,1/57 Blyth St,3,u,730000.0,SP,Barlow,2016-04-16,13.8,3018,3,2,1,70.0,151.97,1970,Hobsons Bay,-37.868,144.8287,Western Metropolitan,5301
168,Altona,22 Fenfield St,3,h,678000.0,S,hockingstuart,2016-04-16,13.8,3018,3,1,2,606.0,87.0,1950,Hobsons Bay,-37.8608,144.8124,Western Metropolitan,5301
169,Altona,5/8 David St,2,u,580000.0,PI,Biggin,2016-07-16,13.8,3018,2,2,1,175.0,76.0,2013,Hobsons Bay,-37.8687,144.8268,Western Metropolitan,5301
170,Altona,1/28 Seves St,3,h,712000.0,S,hockingstuart,2016-09-17,13.8,3018,3,1,2,363.0,151.97,1970,Hobsons Bay,-37.8674,144.8375,Western Metropolitan,5301
171,Altona,27 McIntyre Dr,3,h,840000.0,SP,Greg,2017-03-18,13.8,3018,3,2,2,534.0,136.0,1965,Hobsons Bay,-37.86,144.8245,Western Metropolitan,5301
172,Altona,4 Boyd St,3,h,980000.0,S,Barlow,2016-11-19,13.8,3018,3,1,2,724.0,151.97,1970,Hobsons Bay,-37.8672,144.817,Western Metropolitan,5301
173,Altona,12 Spear Ct,3,t,605100.0,S,hockingstuart,2016-05-22,13.8,3018,3,2,0,265.0,151.97,1970,Hobsons Bay,-37.8583,144.8172,Western Metropolitan,5301
174,Altona,185 Queen St,3,h,880000.0,PI,Barlow,2016-08-22,13.8,3018,3,3,1,577.0,151.97,1970,Hobsons Bay,-37.8699,144.8235,Western Metropolitan,5301
175,Altona,3/20 Mulga St,3,u,577000.0,S,Williams,2016-04-23,13.8,3018,3,2,1,205.0,113.0,2007,Hobsons Bay,-37.8684,144.815,Western Metropolitan,5301
176,Altona,51 Millers Rd,4,h,1030000.0,S,Barlow,2017-02-25,13.8,3018,4,1,0,797.0,151.97,1970,Hobsons Bay,-37.8663,144.8387,Western Metropolitan,5301
177,Altona,2/119 Railway St N,3,u,605000.0,S,Barlow,2017-02-25,13.8,3018,3,1,2,181.0,151.97,1970,Hobsons Bay,-37.8659,144.822,Western Metropolitan,5301
178,Altona,24 McIntyre Dr,3,h,753000.0,S,Barlow,2016-06-27,13.8,3018,3,2,2,529.0,151.97,1970,Hobsons Bay,-37.8612,144.8247,Western Metropolitan,5301
179,Altona,104 Maidstone St,2,h,857000.0,SP,hockingstuart,2016-11-27,13.8,3018,2,2,1,675.0,100.0,1950,Hobsons Bay,-37.8653,144.8129,Western Metropolitan,5301
180,Altona,49 Bent St,3,h,1500000.0,S,Barlow,2016-05-28,13.8,3018,3,1,1,929.0,151.97,1970,Hobsons Bay,-37.8651,144.832,Western Metropolitan,5301
183,Altona,219 Civic Pde,3,h,740000.0,S,Greg,2016-08-28,13.8,3018,3,1,2,604.0,151.97,1970,Hobsons Bay,-37.8631,144.8195,Western Metropolitan,5301
184,Altona,3 Curtin Ct,4,h,931000.0,S,Sweeney,2016-08-28,13.8,3018,4,2,3,532.0,151.97,1970,Hobsons Bay,-37.8637,144.8365,Western Metropolitan,5301
185,Altona,2/60 David St,2,h,535600.0,SP,Compton,2016-07-30,13.8,3018,2,1,1,154.0,91.0,1996,Hobsons Bay,-37.8646,144.8272,Western Metropolitan,5301
187,Altona North,4 Knapp St,3,h,781000.0,S,Jas,2016-09-03,11.1,3025,3,1,2,533.0,117.0,1970,Hobsons Bay,-37.8291,144.835,Western Metropolitan,5132
188,Altona North,21 Hatherley Gr,3,h,750000.0,SP,Jas,2017-03-04,11.1,3025,3,1,3,554.0,151.97,1970,Hobsons Bay,-37.8449,144.85,Western Metropolitan,5132
189,Altona North,3/66 Marion St,2,t,421000.0,S,hockingstuart,2017-03-04,11.1,3025,2,1,1,77.0,77.0,2009,Hobsons Bay,-37.8351,144.8529,Western Metropolitan,5132
190,Altona North,153 Mills St,3,h,1405000.0,S,Sweeney,2017-03-04,11.1,3025,3,1,3,655.0,151.97,1970,Hobsons Bay,-37.8338,144.8562,Western Metropolitan,5132
191,Altona North,33 Carthy St,3,h,683000.0,S,FN,2016-06-04,11.1,3025,3,1,2,534.0,167.0,1967,Hobsons Bay,-37.8284,144.8355,Western Metropolitan,5132
192,Altona North,16 Harris St,3,h,623000.0,S,Sweeney,2016-06-04,11.1,3025,3,1,3,540.0,151.97,1970,Hobsons Bay,-37.8267,144.8368,Western Metropolitan,5132
193,Altona North,1/5 Little St,3,h,720000.0,VB,Greg,2016-08-06,11.1,3025,3,2,1,0.0,130.0,2012,Hobsons Bay,-37.8379,144.8583,Western Metropolitan,5132
